ISIN NUMBER,NAME OF COMPANY,EXCHANGEID,SYMBOL,SERIES
INE405Y01021,NSE:GOLDSTAR,1,GOLDSTAR,SM
INE769A01020,NSE:AARTIIND,7,AARTIIND,EQ
INE421A01028,NSE:ABAN,10,ABAN,EQ
IN2220200140,NSE:56MH24,12,56MH24,SG
INE117A01022,NSE:ABB,13,ABB,EQ
IN1920200210,NSE:656KA30,14,656KA30,SG
IN2920200366,NSE:66RJ30,18,66RJ30,SG
INE189B01011,NSE:STYRENIX,19,STYRENIX,EQ
IN1420200124,NSE:66GA30A,20,66GA30A,SG
IN3320200089,NSE:664UP30,21,664UP30,SG
INE012A01025,NSE:ACC,22,ACC,EQ
IN4920200073,NSE:67JK30,23,67JK30,SG
INE423A01024,NSE:ADANIENT,25,ADANIENT,EQ
IN1620200098,NSE:67HR30,26,67HR30,SG
INE224E01036,NSE:GATECHDVR,27,GATECHDVR,BE
IN2220200157,NSE:667MH31,29,667MH31,SG
IN2120200158,NSE:679MP33,32,679MP33,SG
INE045A01017,NSE:ADORWELD,34,ADORWELD,EQ
IN1920200228,NSE:677KA34,35,677KA34,SG
IN1020200359,NSE:685AP36,38,685AP36,SG
INE208C01025,NSE:AEGISLOG,40,AEGISLOG,EQ
IN1020200367,NSE:687AP38,41,687AP38,SG
IN3420200104,NSE:677WB40,42,677WB40,SG
INE890C01046,NSE:SANWARIA,46,SANWARIA,BZ
INE419U01012,NSE:HAPPSTMNDS,48,HAPPSTMNDS,EQ
IN1220200043,NSE:605AS25,62,605AS25,SG
IN1320200059,NSE:57BR24,63,57BR24,SG
IN1520200149,NSE:663GJ29,65,663GJ29,SG
IN4520200168,NSE:684TS40,68,684TS40,SG
IN1920200236,NSE:665KA30,72,665KA30,SG
IN1920200244,NSE:675KA33,74,675KA33,SG
IN3620200037,NSE:667UK30,76,667UK30,SG
INE426A01027,NSE:ALEMBICLTD,79,ALEMBICLTD,EQ
IN2220200165,NSE:57MH24,80,57MH24,SG
INE351Y01019,NSE:BETA,81,BETA,SM
IN2420200031,NSE:67ML30,83,67ML30,SG
IN2620200039,NSE:67NL30,86,67NL30,SG
IN2920200374,NSE:667RJ30,87,667RJ30,SG
IN3220200015,NSE:67TR30,89,67TR30,SG
IN3320200097,NSE:668UP30,92,668UP30,SG
IN2120200166,NSE:676MP33,95,676MP33,SG
INE289S01013,NSE:CMMIPL,99,CMMIPL,ST
INE885A01032,NSE:ARE&M,100,ARE&M,EQ
INE932X01026,NSE:SHAREINDIA,104,SHAREINDIA,EQ
INE338Y01016,NSE:OMFURN,117,OMFURN,SM
INE450U01017,NSE:ROUTE,128,ROUTE,EQ
INE715B01021,NSE:ANDHRSUGAR,136,ANDHRSUGAR,EQ
INE008Z01020,NSE:SRPL,140,SRPL,EQ
INE850D01014,NSE:GODREJAGRO,144,GODREJAGRO,EQ
IN0020200195,NSE:SGBSEP28VI,149,SGBSEP28VI,GB
INE116A01032,NSE:APCOTEXIND,154,APCOTEXIND,EQ
IN2220200173,NSE:568MH24,155,568MH24,SG
INE437A01024,NSE:APOLLOHOSP,157,APOLLOHOSP,EQ
IN2220200181,NSE:67MH28,158,67MH28,SG
INE376Y01016,NSE:MILTON,159,MILTON,SM
IN3320200105,NSE:674UP30,161,674UP30,SG
INE438A01022,NSE:APOLLOTYRE,163,APOLLOTYRE,EQ
IN1220200050,NSE:68AS30,164,68AS30,SG
IN1420200132,NSE:674GA30,165,674GA30,SG
INE435A01028,NSE:ANDHRAPAP,166,ANDHRAPAP,EQ
IN1520200156,NSE:67GJ30,167,67GJ30,SG
IN1920200251,NSE:67KA30,170,67KA30,SG
IN2920200382,NSE:672RJ30,171,672RJ30,SG
IN3020200025,NSE:673SK30,173,673SK30,SG
IN3120200297,NSE:669TN30,179,669TN30,SG
IN1920200269,NSE:678KA32,182,678KA32,SG
INE822C01015,NSE:TCPLPACK,184,TCPLPACK,EQ
IN2220200199,NSE:678MH32,185,678MH32,SG
INE906B07DE1,NSE:850NHAI29,186,850NHAI29,N5
INE906B07DF8,NSE:875NHAI29,192,875NHAI29,N6
INE034A01011,NSE:ARVIND,193,ARVIND,EQ
INE348L01012,NSE:MASFIN,199,MASFIN,EQ
INE961D01019,NSE:UNIDT,201,UNIDT,EQ
INE348A01023,NSE:ASHAPURMIN,203,ASHAPURMIN,EQ
INF204K01XT0,NSE:NMFINQRAG1,210,NMFINQRAG1,MF
INE208A01029,NSE:ASHOKLEY,212,ASHOKLEY,EQ
INE022Q01020,NSE:IEX,220,IEX,EQ
INE021A01026,NSE:ASIANPAINT,236,ASIANPAINT,EQ
INE087Z01024,NSE:AAKASH,240,AAKASH,BE
INE0CHO01012,NSE:ADL,245,ADL,EQ
IN0020170059,NSE:SGBOCT25,250,SGBOCT25,GB
INE368I01016,NSE:NIRAJ,255,NIRAJ,EQ
INE100A01010,NSE:ATUL,263,ATUL,EQ
INE03YM01018,NSE:CHEMCON,270,CHEMCON,EQ
INE406A01037,NSE:AUROPHARMA,275,AUROPHARMA,EQ
INE481Y01014,NSE:GICRE,277,GICRE,EQ
INE449A01011,NSE:AUTOAXLES,278,AUTOAXLES,EQ
IN1020200375,NSE:575AP24,285,575AP24,SG
IN2020200209,NSE:579KL24,288,579KL24,SG
