,Index,NAME OF COMPANY,EXCHANGEID
0,NIFTY 50_26000,NIFTY 50,26000
1,NIFTY BANK_26001,NIFTY BANK,26001
2,INDIA VIX_26002,INDIA VIX,26002
3,NIFTY IT_26003,NIFTY IT,26003
4,NIFTY 100_26004,NIFTY 100,26004
5,NIFTY MIDCAP 50_26005,NIFTY MIDCAP 50,26005
6,NIFTY GS 11 15YR_26006,NIFTY GS 11 15YR,26006
7,NIFTY INFRA_26007,NIFTY INFRA,26007
8,NIFTY100 LIQ 15_26008,NIFTY100 LIQ 15,26008
9,NIFTY REALTY_26009,NIFTY REALTY,26009
10,NIFTY CPSE_26010,NIFTY CPSE,26010
11,NIFTY GS COMPSITE_26011,NIFTY GS COMPSITE,26011
12,NIFTY OIL AND GAS_26012,NIFTY OIL AND GAS,26012
13,NIFTY50 TR 1X INV_26013,NIFTY50 TR 1X INV,26013
14,NIFTY PHARMA_26014,NIFTY PHARMA,26014
15,NIFTY PSE_26015,NIFTY PSE,26015
16,NIFTY MIDCAP 150_26016,NIFTY MIDCAP 150,26016
17,NIFTY MIDCAP 100_26017,NIFTY MIDCAP 100,26017
18,NIFTY SERV SECTOR_26018,NIFTY SERV SECTOR,26018
19,NIFTY 500_26019,NIFTY 500,26019
20,NIFTY ALPHA 50_26020,NIFTY ALPHA 50,26020
21,NIFTY50 VALUE 20_26021,NIFTY50 VALUE 20,26021
22,NIFTY200 QUALTY30_26022,NIFTY200 QUALTY30,26022
23,NIFTY SMLCAP 250_26023,NIFTY SMLCAP 250,26023
24,NIFTY GROWSECT 15_26024,NIFTY GROWSECT 15,26024
25,NIFTY50 PR 1X INV_26025,NIFTY50 PR 1X INV,26025
26,NIFTY50 EQL WGT_26026,NIFTY50 EQL WGT,26026
27,NIFTY PSU BANK_26027,NIFTY PSU BANK,26027
28,NIFTY SMLCAP 100_26028,NIFTY SMLCAP 100,26028
29,NIFTY LARGEMID250_26029,NIFTY LARGEMID250,26029
30,NIFTY100 EQL WGT_26030,NIFTY100 EQL WGT,26030
31,NIFTY SMLCAP 50_26031,NIFTY SMLCAP 50,26031
32,NIFTY ENERGY_26032,NIFTY ENERGY,26032
33,NIFTY GS 10YR_26033,NIFTY GS 10YR,26033
34,NIFTY FIN SERVICE_26034,NIFTY FIN SERVICE,26034
35,NIFTY MIDSML 400_26035,NIFTY MIDSML 400,26035
36,NIFTY METAL_26036,NIFTY METAL,26036
37,NIFTY CONSR DURBL_26037,NIFTY CONSR DURBL,26037
38,NIFTY DIV OPPS 50_26038,NIFTY DIV OPPS 50,26038
39,NIFTY GS 15YRPLUS_26039,NIFTY GS 15YRPLUS,26039
40,NIFTY MEDIA_26040,NIFTY MEDIA,26040
41,NIFTY FMCG_26041,NIFTY FMCG,26041
42,NIFTY PVT BANK_26042,NIFTY PVT BANK,26042
43,NIFTY200MOMENTM30_26043,NIFTY200MOMENTM30,26043
44,HANGSENG BEES-NAV_26044,HANGSENG BEES-NAV,26044
45,NIFTY100 LOWVOL30_26045,NIFTY100 LOWVOL30,26045
46,NIFTY50 TR 2X LEV_26046,NIFTY50 TR 2X LEV,26046
47,NIFTY CONSUMPTION_26047,NIFTY CONSUMPTION,26047
48,NIFTY GS 8 13YR_26048,NIFTY GS 8 13YR,26048
49,NIFTY100ESGSECLDR_26049,NIFTY100ESGSECLDR,26049
50,NIFTY GS 10YR CLN_26050,NIFTY GS 10YR CLN,26050
51,NIFTY GS 4 8YR_26051,NIFTY GS 4 8YR,26051
52,NIFTY AUTO_26052,NIFTY AUTO,26052
53,NIFTY COMMODITIES_26053,NIFTY COMMODITIES,26053
54,NIFTY NEXT 50_26054,NIFTY NEXT 50,26054
55,NIFTY MNC_26055,NIFTY MNC,26055
56,NIFTY MID LIQ 15_26056,NIFTY MID LIQ 15,26056
57,NIFTY HEALTHCARE_26057,NIFTY HEALTHCARE,26057
58,NIFTY500 MULTICAP_26058,NIFTY500 MULTICAP,26058
59,NIFTY ALPHALOWVOL_26059,NIFTY ALPHALOWVOL,26059
60,NIFTY FINSRV25 50_26060,NIFTY FINSRV25 50,26060
61,NIFTY50 PR 2X LEV_26061,NIFTY50 PR 2X LEV,26061
62,NIFTY100 QUALTY30_26062,NIFTY100 QUALTY30,26062
63,NIFTY50 DIV POINT_26063,NIFTY50 DIV POINT,26063
64,NIFTY 200_26064,NIFTY 200,26064
65,NIFTY MID SELECT_26121,NIFTY MID SELECT,26121
66,NIFTY MIDSML HLTH_26122,NIFTY MIDSML HLTH,26122
67,NIFTY MULTI INFRA_26123,NIFTY MULTI INFRA,26123
68,NIFTY MULTI MFG_26124,NIFTY MULTI MFG,26124
69,NIFTY TATA 25 CAP_26125,NIFTY TATA 25 CAP,26125
